law,weights,replicate,ess,max_weight,D4,moment_error,success,condition,I1,I2,I3,I4
unimodal,pareto,47,106.75838208432098,0.053369996806618095,1.0538908077330649,3.539490922577215e-11,True,728.5612295171242,1.0288645085909591,0.006056183740875021,0.011520220220043953,0.007449895181186772
unimodal,equal,48,400.00000000000006,0.0025,0.9703296012564362,1.251957426617878e-10,True,554.1021122919643,0.963250878945511,0.0013732643967232505,0.004033663873802773,0.0016717940403991882
unimodal,pareto,48,86.04553348484335,0.07246466091116828,0.9779295824351966,9.391953881277004e-11,True,800.7734136694955,0.9258347038064407,0.014465077162454598,0.03466650996781828,0.002963291498482956
unimodal,equal,49,400.00000000000006,0.0025,0.9900134203111,1.7678081221106368e-12,True,3496.89683432898,0.9820592896631863,0.005623100220322197,0.0016177453131906994,0.0007132851144007191
unimodal,pareto,49,128.96376285388342,0.04960794239145581,0.9720778451094949,1.9660939543086897e-12,True,4916.899273319702,0.9688618206642712,0.0006405376504865501,0.0025186093912665797,5.6877403470600996e-05
unimodal,equal,50,400.00000000000006,0.0025,1.0192079437973316,4.218847493575595e-14,True,34854.95484762032,1.0130577730717354,0.00039861846268651746,0.004925711588982917,0.0008258406739267699
unimodal,pareto,50,136.15821465272134,0.053055967111498493,1.0617543913968959,2.786004760224614e-11,True,62324.65561663806,1.0551458452580884,0.0013447438365408182,0.0014495385026629393,0.003814263799603701
unimodal,equal,51,400.00000000000006,0.0025,1.0322652353370207,1.1113332476497817e-13,True,1415.6137911939697,1.0277343542319364,0.0018999902627121479,0.0006981988418592877,0.0019326920005129367
unimodal,pareto,51,119.39500794474453,0.04443941769252252,0.911256057309966,4.123257291155369e-11,True,789.7110929033198,0.9001105620229359,0.005266710993033108,0.003027932244424214,0.002850852049572694
unimodal,equal,52,400.00000000000006,0.0025,1.1238831481803828,1.3129497489217101e-12,True,15044.278213617235,1.1064119614965273,0.01145883980501372,0.0015262635396391389,0.00448608333920264
unimodal,pareto,52,152.69118679186354,0.029532680133495484,1.108320431805419,1.5155654509158012e-12,True,34059.894115142924,1.0961551049445597,0.004731854677328062,0.0012855859484268706,0.006147886235104316
unimodal,equal,53,400.00000000000006,0.0025,1.0439656124883019,2.76534350973634e-12,True,32082.861592539084,1.0291053506053434,0.0029953072888284638,0.011365983220633424,0.0004989713734966372
unimodal,pareto,53,8.038546954385478,0.3488016346242578,1.3873514993327873,1.7497092663631975e-10,True,99099.46671196754,1.282348997110975,0.016108099572760715,0.06784788287514765,0.021046519773904038
unimodal,equal,54,400.00000000000006,0.0025,1.0332163358320727,2.07556194453673e-12,True,831549.2728718225,1.0118031856978913,0.007683136850676675,0.002905931504501247,0.010824081779003514
unimodal,pareto,54,93.83773398400787,0.05458910189754032,1.1090651402428193,2.511324481702104e-13,True,976857.3683483874,1.0850696873422967,0.0006451125778887956,0.0005695620602681473,0.022780778262365686
unimodal,equal,55,400.00000000000006,0.0025,1.052639842252142,1.7134293983644966e-11,True,17405.21108961486,1.0493922664816377,0.00010119380616746554,0.0003634543487835984,0.002782927615553099
