replicate,seed,I1,p1,valid1,I2,p2,valid2,I3,p3,valid3,I4,p4,valid4,tail,p_tail,valid_tail,holm_I1,holm_I2,holm_I3,holm_I4,holm_tail,would_stop_at_first
187,919450,0.0014625968224751575,0.30977537717631143,True,0.0004902026949818268,0.6596338579194986,True,0.0007324829158070712,0.556145526320327,True,0.14531791982793105,7.162168786493044e-51,True,0.14654060543871963,6.1031431187061336e-05,True,0.9293261315289343,1.0,1.0,3.5810843932465223e-50,0.00024412572474824534,True
188,919451,0.0012587131974906387,0.36484030332795225,True,0.00024374197889436879,0.809914319806957,True,3.177752698413231e-05,0.9748913054933568,True,0.16765621715602155,2.1992939992380975e-59,True,0.16793173666190034,6.1031431187061336e-05,True,1.0,1.0,1.0,1.0996469996190488e-58,0.00024412572474824534,True
189,919452,0.0014555947600336837,0.3112420470105898,True,0.004154112476811131,0.04161694592545366,True,0.0008385999834061818,0.5113116005528895,True,0.16287002486385796,2.362086977815675e-58,True,0.1678627373240759,6.1031431187061336e-05,True,0.6224840940211795,0.12485083777636098,0.6224840940211795,1.1810434889078375e-57,0.00024412572474824534,True
190,919453,0.0008391811826327859,0.510556110170679,True,0.001540441370897385,0.28054957915102163,True,0.00335516086413043,0.067755520952505,True,0.17214506898568496,1.1770271224514366e-60,True,0.17704067122071224,6.1031431187061336e-05,True,0.5610991583020433,0.5610991583020433,0.20326656285751502,5.885135612257183e-60,0.00024412572474824534,True
191,919454,0.000922119164699319,0.47788482455380854,True,3.6144057385754675e-05,0.9688300703859334,True,0.000574682903257981,0.6311130046880068,True,0.17610168654170152,1.1137469893155219e-61,True,0.17671251350234563,6.1031431187061336e-05,True,1.0,1.0,1.0,5.56873494657761e-61,0.00024412572474824534,True
192,919455,0.004231755389472909,0.033400336222817545,True,0.0005887202246728559,0.6069103119118646,True,0.002801919993205542,0.10555944268121681,True,0.1536548354654576,4.853617416017649e-53,True,0.15704547568333554,6.1031431187061336e-05,True,0.10020100866845263,0.6069103119118646,0.21111888536243362,2.4268087080088246e-52,0.00024412572474824534,False
193,919456,0.002880855372444798,0.09914397736447558,True,0.0007892101162793605,0.5091577309979141,True,0.0006585295468112956,0.5902440398872526,True,0.19634963622745288,9.214901501155529e-71,True,0.19779737589054344,6.1031431187061336e-05,True,0.2974319320934268,1.0,1.0,4.6074507505777647e-70,0.00024412572474824534,True
194,919457,0.001030034259628288,0.4381847263763715,True,0.0009651085076332459,0.4436590977928019,True,0.0004236644077421775,0.7124430407816587,True,0.16895967992426514,3.568841578474819e-58,True,0.17034845283964106,6.1031431187061336e-05,True,1.0,1.0,1.0,1.7844207892374095e-57,0.00024412572474824534,True
195,919458,0.003378942347940425,0.06638674598263417,True,9.116611347536122e-05,0.9250517323584804,True,0.0033198007206641997,0.06961769433078643,True,0.13458558690162273,1.882839299648356e-47,True,0.13799655373576117,6.1031431187061336e-05,True,0.1991602379479025,0.9250517323584804,0.1991602379479025,9.41419649824178e-47,0.00024412572474824534,True
196,919459,0.0005209112612724524,0.6589179109008383,True,0.0012830413818600169,0.34283509652577604,True,0.004067092371343638,0.038215097557668956,True,0.1819099040599939,7.14397070203231e-65,True,0.18726003781319778,6.1031431187061336e-05,True,0.6856701930515521,0.6856701930515521,0.11464529267300687,3.571985351016155e-64,0.00024412572474824534,True
197,919460,0.00044090156152165724,0.7026438721548476,True,0.00019333642498965263,0.8456250016757405,True,0.0006266174923990342,0.6054325667417868,True,0.16921084480571255,3.0811613282197865e-60,True,0.17003079872310184,6.1031431187061336e-05,True,1.0,1.0,1.0,1.5405806641098932e-59,0.00024412572474824534,True
198,919461,0.0018735662801788043,0.22267910345924075,True,0.001859646268212133,0.21955188131650905,True,0.0009558410663047532,0.46526863675409524,True,0.15879428986820632,4.186333738809089e-57,True,0.16160977720272318,6.1031431187061336e-05,True,0.6586556439495271,0.6586556439495271,0.6586556439495271,2.0931668694045445e-56,0.00024412572474824534,True
199,919462,0.0007073118963200312,0.5674862993299068,True,0.0014373813841689893,0.30373727558053476,True,3.897379996428262e-05,0.969295473291025,True,0.17670220875626483,4.272593102956764e-63,True,0.17817856394039802,6.1031431187061336e-05,True,1.0,0.9112118267416043,1.0,2.136296551478382e-62,0.00024412572474824534,True
200,919463,0.004614436706637325,0.02457865360260577,True,0.001595342359295841,0.27111629801126724,True,0.0009874890751457536,0.4535636357908678,True,0.12586026452887014,6.101770130200839e-44,True,0.12844309596331135,6.1031431187061336e-05,True,0.0737359608078173,0.5422325960225345,0.5422325960225345,3.0508850651004195e-43,0.00024412572474824534,False
