cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation,analytic_p
circle_cos4_direct_n200,617,2026292218,True,ok,0.0008309604267828395,0.0024787593410063955,0.002808200766318659,0.33232185761821254,0.40875904024610993,0.836451359833154,0.8364791610394066,0.8151529455281792,0.8468835446371165,0.8468835446371165,200.0,200.0,0.005,2.498001805406602e-16,1.1388395410747605,6,5.421010862427522e-18,-8.673617379884035e-19,-3.885780586188048e-16,3.1156547461635986e-05,0.6184320383897747,1.3799973021910832,0.30844947524167926,1.214306433183765e-17,0.0010084579698741436,not_checked,0.001,not_checked,not_checked,,,,0.8353990878810518
circle_cos4_direct_n200,618,2026292219,True,ok,0.0010089922155186119,0.00349697865387099,0.0033948206841856662,0.4034836348466708,0.3968312832416969,0.8068373048203517,0.8068855322829025,0.8200289441352706,0.8172596356583073,0.8172596356583073,200.0,200.0,0.005,2.914335439641036e-16,1.1707543213375091,6,2.6020852139652106e-18,0.0,0.0,5.662568038694582e-05,0.6422300355471829,1.3556557086497825,0.31999217571752453,2.862293735361732e-17,0.0010041240602731705,not_checked,0.001,not_checked,not_checked,,,,0.8041292052712754
circle_cos4_direct_n200,619,2026292220,True,ok,0.002194785900253601,0.0007015675673089355,0.0035901795325809466,0.8774336212753266,1.5237556492511863,0.6219762234933315,0.6221338828940031,0.46678905550942895,0.6447083854191217,0.6447083854191217,200.0,200.0,0.005,3.4264917292414765e-12,1.1246863369277216,5,2.6020852139652106e-18,-8.673617379884035e-19,-4.440892098500626e-16,0.00024036941305688453,0.5687738479483343,1.4268468364443287,0.2841874131607191,1.815804451243963e-13,0.0008872919715940952,not_checked,0.001,not_checked,not_checked,,,,0.6257879412393439
circle_cos4_direct_n200,620,2026292221,True,ok,0.0012888348576999328,0.0010540386198750456,0.004211790795672064,0.5153583850553651,0.37719435616208175,0.7585544194196645,0.7586249888610863,0.8281200244134628,0.772775289762544,0.772775289762544,200.0,200.0,0.005,1.3970422041431618e-11,1.1198587983753248,5,7.806255641895632e-18,8.673617379884035e-19,-1.1102230246251565e-16,8.77790123040012e-05,0.615136793484255,1.3822158516295466,0.30724421610535224,9.248686885787727e-13,0.000891542062163353,not_checked,0.001,not_checked,not_checked,,,,0.7575293205640758
circle_cos4_direct_n200,621,2026292222,True,ok,0.0020536952746180864,0.0031722609492171074,0.004982938115183412,0.8210740473997011,0.7678339174123852,0.6448230340374785,0.6449595858437243,0.6811879915630704,0.6631599573503615,0.6631599573503615,200.0,200.0,0.005,2.8449465006019636e-16,1.1791493642684592,6,-2.6020852139652106e-18,0.0,2.220446049250313e-16,0.00020203122376671878,0.6072366828968347,1.3887523154684154,0.30265506343964854,1.734723475976807e-17,0.0010017489548772573,not_checked,0.001,not_checked,not_checked,,,,0.644545987344197
circle_cos4_direct_n200,622,2026292223,True,ok,0.00606866854068985,0.006956296805469445,0.006563582836085925,2.4243555465068476,3.689437104492444,0.28521750730770956,0.28565364679000793,0.15806980302065654,0.2970859737574957,0.2970859737574957,200.0,200.0,0.005,6.328271240363392e-15,1.2797408841674636,6,6.505213034913027e-17,-8.673617379884035e-19,0.0,0.001555934884546195,0.610796690236738,1.3781325325268754,0.30327328959938854,5.863365348801608e-16,0.0010116251651197672,not_checked,0.001,not_checked,not_checked,,,,0.2864126639275819
circle_cos4_direct_n200,623,2026292224,True,ok,0.00804881602818386,0.000449758913424718,0.007418963231230864,3.21298115587571,5.07765253231705,0.19345926236813188,0.1940621854485225,0.07895902229951766,0.19993495193988514,0.19993495193988514,200.0,200.0,0.005,5.328550101157958e-13,1.2114940566164056,5,4.874572967494828e-16,1.734723475976807e-18,8.881784197001252e-16,0.0032726276989170078,0.593642588890036,1.390220677142325,0.296687794007789,3.069224562002315e-14,0.0008907909505069256,not_checked,0.001,not_checked,not_checked,,,,0.19588703591540158
circle_cos4_direct_n200,624,2026292225,True,ok,0.014358219152327326,0.0034373784577089632,0.010919117084883502,5.72146853303909,8.278412689908109,0.06104996658584047,0.06163141036080695,0.015935493772090213,0.05660579972033063,0.05660579972033063,200.0,200.0,0.005,6.916134331902413e-13,1.3552929592557925,6,1.4411215276677325e-13,6.938893903907228e-18,6.217248937900877e-15,0.010909563945920464,0.5644938092427559,1.406174447430785,0.2812767953627132,2.24910368107345e-13,0.001003999961540103,not_checked,0.001,not_checked,not_checked,,,,0.06248193219627654
circle_cos4_direct_n200,625,2026292226,True,ok,0.020256426557507833,0.0005655455379559877,0.016203968069686676,8.061770639257691,6.352930360022456,0.019361188790077553,0.019719471620257327,0.0417329130379238,0.017399995845926015,0.017399995845926015,200.0,200.0,0.005,1.5795836860732493e-12,1.3379292517943882,5,-2.874783744388765e-14,1.3877787807814457e-17,8.881784197001252e-15,0.020399991872721124,0.673917025525143,1.2859338932140427,0.33676795129769954,7.667737972338884e-14,0.0009036262053996325,not_checked,0.001,not_checked,not_checked,,,,0.022924061925634093
circle_cos4_direct_n200,626,2026292227,True,ok,0.0019578908868289405,0.002987846086781404,0.00372642216275818,0.782730600383928,1.237582470262243,0.6543533556261081,0.6545008920876271,0.5385950790893164,0.6759892013738593,0.6759892013738593,200.0,200.0,0.005,1.6306400674181987e-16,1.1832314568169984,6,1.3877787807814457e-17,0.0,5.551115123125783e-16,0.00021287717382406646,0.5724503113091596,1.4234419050904648,0.2853700219356557,1.5612511283791264e-17,0.001016081776469946,not_checked,0.001,not_checked,not_checked,,,,0.6576327528343873
circle_cos4_direct_n200,627,2026292228,True,ok,0.004534287758174148,0.0050936560715685985,0.007778239125827276,1.8113320191597395,1.3730746096456012,0.3901219759791861,0.3905902239793462,0.5033158845884156,0.40379112516653715,0.40379112516653715,200.0,200.0,0.005,5.7592819402429996e-15,1.2710851727487469,6,5.2562121322097255e-16,0.0,-2.220446049250313e-16,0.0011915420549598599,0.651488645975844,1.3387851816466214,0.3240854392951272,1.3322676295501878e-15,0.0010198750533163548,not_checked,0.001,not_checked,not_checked,,,,0.3878089878899532
circle_cos4_direct_n200,628,2026292229,True,ok,0.00642882889692593,0.004291482307197284,0.00955570384464815,2.567474661185976,1.873022365287402,0.26279221795181695,0.2633061719251122,0.3919930446285119,0.2764388114138768,0.2764388114138768,200.0,200.0,0.005,9.034439862887211e-15,1.2615840718802571,6,4.371503159461554e-16,-3.469446951953614e-18,-8.881784197001252e-16,0.00202844879219799,0.5464589542708854,1.4408832671027922,0.27205671096565565,1.0096090630185017e-15,0.0010099168866872787,not_checked,0.001,not_checked,not_checked,,,,0.267048805346645
circle_cos4_direct_n200,629,2026292230,True,ok,0.002468759716952598,0.0033946122475021863,0.005386019891936783,0.9868068696027067,0.9750422889793379,0.589788395977809,0.5900028748697812,0.6141468902638713,0.6103321612413026,0.6103321612413026,200.0,200.0,0.005,3.191891195797325e-16,1.2037120153783383,6,4.336808689942018e-19,-8.673617379884035e-19,-3.3306690738754696e-16,0.00034850858916624095,0.5940332133983479,1.4006986732474382,0.2960083867760071,3.469446951953614e-17,0.0010070416610687971,not_checked,0.001,not_checked,not_checked,,,,0.5910422833493967
circle_cos4_direct_n200,630,2026292231,True,ok,0.008933674001579456,0.0004168785006038328,0.010716902186100389,3.5655482787483446,2.9284783813266366,0.1635943154441385,0.16421433141203928,0.23125386466524614,0.16750621895513457,0.16750621895513457,200.0,200.0,0.005,5.534565861164964e-13,1.2163945916267427,5,-3.625572064791527e-16,-1.734723475976807e-18,-8.881784197001252e-16,0.003960660941718874,0.6397806685219651,1.3424697311806681,0.3197569809430131,2.2635539276283367e-14,0.0008989579509943724,not_checked,0.001,not_checked,not_checked,,,,0.1659182857660223
circle_cos4_direct_n200,631,2026292232,True,ok,0.008456985101035108,0.002033271527946406,0.010994144810150975,3.375618348702022,2.4015554222860933,0.1786475757158878,0.17924489798186585,0.3009600608801121,0.18426192646575187,0.18426192646575187,200.0,200.0,0.005,1.0452834431351476e-10,1.2488913731372142,5,1.124100812432971e-15,3.469446951953614e-18,4.440892098500626e-16,0.003587845856010352,0.5524095599935854,1.430723456206891,0.27564313372244126,1.2795490361705575e-11,0.0008983761072158813,not_checked,0.001,not_checked,not_checked,,,,0.18139473813493315
circle_cos4_direct_n200,632,2026292233,True,ok,0.0009994085932488427,0.005571510235777394,0.0035677300813476915,0.39969727065568733,0.37583773113070346,0.7992807212148041,0.7993099059464697,0.828681939145868,0.818827599384375,0.818827599384375,200.0,200.0,0.005,9.332812300755222e-16,1.1930888357402236,6,6.505213034913027e-19,-8.673617379884035e-19,5.551115123125783e-17,3.308332192486496e-05,0.5230436822661473,1.4752990041801186,0.2600650534832026,3.642919299551295e-17,0.0010181241668760777,not_checked,0.001,not_checked,not_checked,,,,0.8057795507682157
circle_cos4_direct_n200,633,2026292234,True,ok,0.004860709085524014,0.0020136937171137187,0.005694461170058562,1.9417774893545932,2.9279608952552647,0.3659547310561171,0.36641494828282895,0.23131370773385848,0.3782719804468819,0.3782719804468819,200.0,200.0,0.005,9.952586671468922e-11,1.2111061956082059,5,1.6306400674181987e-16,2.6020852139652106e-18,2.220446049250313e-16,0.0012530724275061633,0.6616069202530706,1.3284087790915868,0.3301372704268552,1.2309946464950094e-11,0.0008949579205363989,not_checked,0.001,not_checked,not_checked,,,,0.36334678672025345
circle_cos4_direct_n200,634,2026292235,True,ok,0.006074704983134003,0.004304947518924825,0.007759980245321298,2.426129491726604,2.776855463106271,0.286824736666061,0.2873575592652552,0.24946722589601583,0.29672752170224365,0.29672752170224365,200.0,200.0,0.005,8.975459264704e-15,1.2630851079927354,6,6.531233887052679e-16,6.938893903907228e-18,1.7763568394002505e-15,0.0018762507634986214,0.6571912279563598,1.330623252273466,0.32718106894465715,1.5126788710517758e-15,0.0010053750593215227,not_checked,0.001,not_checked,not_checked,,,,0.286075833561686
circle_cos4_direct_n200,635,2026292236,True,ok,0.005640267148394645,0.006198977389524095,0.00682065602657141,2.253365584627735,3.194885959654849,0.30911419600069623,0.3095318896942836,0.20241343206214232,0.3236626757776956,0.3236626757776956,200.0,200.0,0.005,4.1772141301521515e-15,1.2664193717014647,6,3.382710778154774e-17,8.673617379884035e-19,8.881784197001252e-16,0.0013706373650612669,0.5875875115434814,1.4019898276512037,0.2919720816279073,3.226585665316861e-16,0.0010044171940535307,not_checked,0.001,not_checked,not_checked,,,,0.31145368820754227
circle_cos4_direct_n200,636,2026292237,True,ok,0.00372525388691327,0.009729633955530646,0.0061141754423628385,1.4884244861227673,1.7263270596983165,0.4575225916149793,0.45791340296680694,0.42182551169452664,0.47471019478670884,0.47471019478670884,200.0,200.0,0.005,5.315192730392937e-15,1.3247269482435609,6,4.2674197509029455e-16,5.637851296924623e-18,2.6645352591003757e-15,0.0008385343212703456,0.6245627007779644,1.3671996053311437,0.3092441401891194,1.5612511283791264e-15,0.0010069168638437986,not_checked,0.001,not_checked,not_checked,,,,0.4565289615240028
circle_cos4_direct_n200,637,2026292238,True,ok,0.0032827938275379097,0.0019494703574292815,0.004347771347779099,1.3120589605441089,2.2844341630629446,0.4961262646562491,0.4963966595955225,0.3191107424163358,0.5186330049460897,0.5186330049460897,200.0,200.0,0.005,1.208999844681813e-10,1.1748983431697355,5,1.734723475976807e-18,-1.734723475976807e-18,-2.220446049250313e-16,0.0005292852355275324,0.5741961236968497,1.4193181637540384,0.286538410075424,1.0813688486321915e-11,0.0008988759946078062,not_checked,0.001,not_checked,not_checked,,,,0.4996446470177962
circle_cos4_direct_n200,638,2026292239,True,ok,0.012786038526080902,0.0018864308207818242,0.013112547824259429,5.097878962208631,3.828233194170553,0.07875799173212789,0.07936068891496126,0.14747205230029817,0.07752089971656186,0.07752089971656186,200.0,200.0,0.005,8.618260272097444e-11,1.2969342345714017,5,1.6904880273393985e-14,1.734723475976807e-18,1.7763568394002505e-15,0.00826822411186523,0.641898625096284,1.3325217529877347,0.32034382148012225,9.481890966833717e-12,0.0008948331233114004,not_checked,0.001,not_checked,not_checked,,,,0.0823896743745832
circle_cos4_direct_n200,639,2026292240,True,ok,0.0020992507872088367,0.005469730368706852,0.005399973402357193,0.8393552253595704,0.6272605093870258,0.635097046326675,0.635212728631302,0.730789184082751,0.6571452807680527,0.6571452807680527,200.0,200.0,0.005,4.440892098500626e-16,1.2107782859229597,6,5.204170427930421e-18,-1.3010426069826053e-18,-6.661338147750939e-16,0.00017254476198214075,0.5721939959870221,1.4240894099675123,0.284532473784568,6.591949208711867e-17,0.0010087080299854279,not_checked,0.001,not_checked,not_checked,,,,0.6384231207562445
circle_cos4_direct_n200,640,2026292241,True,ok,0.0012498434755276767,0.013662348711189813,0.004004965856905481,0.4996770626733864,0.41986393421917434,0.7648457402463416,0.7649513366770762,0.8106393942352902,0.7788251637293429,0.7788251637293429,200.0,200.0,0.005,2.123301534595612e-15,1.3330760374073907,6,5.204170427930421e-18,-4.336808689942018e-19,5.551115123125783e-17,0.0001301637688421453,0.6157307677094864,1.3809482064326983,0.3036613377916386,4.891920202254596e-16,0.0010065839160233736,not_checked,0.001,not_checked,not_checked,,,,0.7638416814728488
circle_cos4_direct_n200,641,2026292242,True,ok,0.0007119768293727922,0.009186499499151343,0.002979490181055808,0.28477020912084083,0.24871340236559591,0.8585778594040945,0.8585872384071618,0.8830647944407078,0.8672782964508725,0.8672782964508725,200.0,200.0,0.005,2.914335439641036e-16,1.2360623832529236,6,-4.553649124439119e-18,-3.7947076036992655e-18,-1.3877787807814457e-15,1.0261314138032551e-05,0.6293668564408624,1.3695957569296626,0.31179369395114337,5.204170427930421e-17,0.0010042081121355295,not_checked,0.001,not_checked,not_checked,,,,0.8570365393715091
circle_cos4_direct_n200,642,2026292243,True,ok,0.0021267554512120444,0.0020587964039946328,0.005621363383235754,0.85022421146616,0.5951341780395771,0.6203193197755024,0.6204792688242726,0.7426227597164738,0.6535402932260478,0.6535402932260478,200.0,200.0,0.005,1.2304986196642886e-10,1.1639160524933032,5,1.1275702593849246e-17,-2.168404344971009e-18,-1.6653345369377348e-15,0.00023898450932891002,0.4843656138494656,1.511272805997082,0.2416841759725174,1.3449894843697852e-11,0.0008975421078503132,not_checked,0.001,not_checked,not_checked,,,,0.6347571290369931
circle_cos4_direct_n200,643,2026292244,True,ok,0.0030077908522760047,0.0022364725684540943,0.005944410100144031,1.2021679194673833,1.155559266368598,0.5301199195399129,0.5303786776088439,0.5611429274982767,0.547957159899856,0.547957159899856,200.0,200.0,0.005,1.4929775471461681e-10,1.183590668636501,5,4.7704895589362195e-18,8.673617379884035e-19,6.661338147750939e-16,0.0004742107215093272,0.623458311197482,1.370397656414479,0.31103191705164085,1.8726243646016716e-11,0.00090637500397861,not_checked,0.001,not_checked,not_checked,,,,0.5286686074934888
circle_cos4_direct_n200,644,2026292245,True,ok,0.005314677264570158,0.0018845741011130515,0.007823360434174795,2.1231805530452927,2.075344148284131,0.3327560395737206,0.33320210698573616,0.35427845672378894,0.3454402968372751,0.3454402968372751,200.0,200.0,0.005,1.0581702181156061e-10,1.196985280652328,5,-8.066464163292153e-17,-8.673617379884035e-19,-8.881784197001252e-16,0.0013451763913852055,0.6374589558114933,1.3521978633290408,0.31812883748870285,9.44465295901753e-12,0.0009182081557810307,not_checked,0.001,not_checked,not_checked,,,,0.3320754689312301
